EPI_ISL_501619;1209,1237;
EPI_ISL_622797;1548,1515;1515,1550;
EPI_ISL_439654;2043,1850;1850,2045;437,440;435,437;
EPI_ISL_622799;1548,1515;1515,1550;
EPI_ISL_439658;2038,1836;1836,2040;
EPI_ISL_622802;1448,1452;1452,1457;
EPI_ISL_439660;437,440;435,437;
EPI_ISL_622803;1979,2084;2083,1979;
EPI_ISL_439661;437,440;435,437;
EPI_ISL_506974;1548,1515;1515,1550;
EPI_ISL_622805;1548,1515;1181,752;1515,1550;752,1183;
EPI_ISL_506975;437,440;435,437;
EPI_ISL_622806;1548,1515;1181,752;1515,1550;752,1183;
EPI_ISL_506976;388,406;387,388;
EPI_ISL_565784;295,235;235,216;
EPI_ISL_506982;437,440;435,437;
EPI_ISL_506984;1988,1848;1848,1860;
EPI_ISL_506985;437,440;435,437;
EPI_ISL_439674;1908,2065;2063,1908;
EPI_ISL_506986;437,440;435,437;
EPI_ISL_506987;437,440;435,437;
EPI_ISL_439679;437,440;435,437;
EPI_ISL_506991;437,440;435,437;
EPI_ISL_622818;1629,1634;1628,1629;
EPI_ISL_622819;285,213;213,287;
EPI_ISL_506996;1548,1515;1515,1550;
EPI_ISL_622823;428,422;857,1254;422,430;1252,857;
EPI_ISL_506997;1548,1515;1515,1550;
EPI_ISL_506998;1548,1515;1515,1550;
EPI_ISL_506999;1548,1515;1515,1550;
EPI_ISL_507000;1548,1515;1515,1550;
EPI_ISL_507003;1548,1515;1515,1550;
EPI_ISL_507005;1548,1515;1515,1550;
EPI_ISL_439695;1339,995;1594,1613;995,1341;1611,1594;
EPI_ISL_507006;1548,1515;1515,1550;
EPI_ISL_507007;1942,2088;2064,1992;336,364;1876,2038;1222,617;617,1224;972,1412;1371,800;1539,1512;1992,2066;1961,1942;2036,1876;225,287;1591,1611;1610,1591;1409,972;968,1144;1142,968;800,1373;1512,1541;285,225;362,336;
EPI_ISL_507010;1548,1515;1515,1550;286,204;204,288;
EPI_ISL_622832;285,213;213,287;
EPI_ISL_439702;288,246;246,290;
EPI_ISL_439716;437,440;435,437;
EPI_ISL_622844;1339,995;995,1341;
EPI_ISL_439717;437,440;435,437;
EPI_ISL_622845;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_507029;870,1133;1131,870;
EPI_ISL_565826;865,1405;697,865;
EPI_ISL_439723;437,440;435,437;
EPI_ISL_622850;285,213;213,287;
EPI_ISL_507034;870,1133;1131,870;
EPI_ISL_439725;1979,2084;2083,1979;
EPI_ISL_622851;1629,1634;1628,1629;
EPI_ISL_622852;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_622853;1339,995;995,1341;
EPI_ISL_507037;870,1133;1131,870;
EPI_ISL_439729;437,440;435,437;
EPI_ISL_565832;1902,1841;1841,1982;
EPI_ISL_565834;1927,2031;2088,1927;
EPI_ISL_439736;1908,2065;2063,1908;
EPI_ISL_622859;1988,1848;1848,1860;
EPI_ISL_565838;160,107;107,162;
EPI_ISL_565839;1551,1505;1505,1555;
EPI_ISL_565840;1585,1605;1569,1585;
EPI_ISL_439739;2038,1836;1836,2040;
EPI_ISL_439741;437,440;435,437;
EPI_ISL_507049;437,440;435,437;
EPI_ISL_439742;2038,1836;1836,2040;
EPI_ISL_507050;437,440;435,437;
EPI_ISL_507051;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_439744;1757,1758;1758,1762;
EPI_ISL_507053;437,440;435,437;
EPI_ISL_565847;1979,2084;2083,1979;
EPI_ISL_507056;1639,1645;1636,1639;437,440;435,437;
EPI_ISL_439750;288,246;246,290;
EPI_ISL_565849;162,85;85,164;
EPI_ISL_565852;1123,982;982,1125;
EPI_ISL_507063;679,1300;1298,679;
EPI_ISL_565855;1223,810;810,1225;
EPI_ISL_507066;1012,1152;1150,1012;
EPI_ISL_439761;1199,1245;
EPI_ISL_507068;437,440;435,437;
EPI_ISL_565860;1927,2031;2088,1927;
EPI_ISL_622879;1547,1522;1522,1549;
EPI_ISL_507072;437,440;435,437;
EPI_ISL_622880;1547,1522;1522,1549;
EPI_ISL_507073;437,440;435,437;
EPI_ISL_622881;1547,1522;1522,1549;
EPI_ISL_622882;1547,1522;1522,1549;
EPI_ISL_507075;437,440;435,437;
EPI_ISL_622883;1547,1522;1522,1549;
EPI_ISL_507076;1526,1551;1549,1526;
EPI_ISL_622884;1547,1522;1522,1549;
EPI_ISL_622885;1547,1522;1522,1549;
EPI_ISL_507078;2086,1925;1925,2087;
EPI_ISL_622886;1547,1522;1522,1549;
EPI_ISL_622887;1339,995;995,1341;
EPI_ISL_439776;437,440;435,437;
EPI_ISL_622888;1547,1522;1522,1549;
EPI_ISL_622889;1547,1522;1522,1549;
EPI_ISL_622890;1547,1522;1522,1549;
EPI_ISL_507086;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_439786;1908,2065;2063,1908;
EPI_ISL_622895;1869,1870;1870,2074;
EPI_ISL_507091;437,440;435,437;
EPI_ISL_622896;1869,1870;1870,2074;
EPI_ISL_507092;437,440;435,437;
EPI_ISL_622897;129,11;1869,1870;1870,2074;11,131;
EPI_ISL_622898;2076,2079;
EPI_ISL_565880;2041,1921;1921,2043;
EPI_ISL_622899;1869,1870;1870,2074;
EPI_ISL_507095;437,440;435,437;
EPI_ISL_507096;1690,1670;1670,1665;
EPI_ISL_507099;437,440;435,437;
EPI_ISL_622903;784,785;1401,784;860,697;786,860;993,1386;1384,993;785,786;
EPI_ISL_622904;1869,1870;1870,2074;
EPI_ISL_507102;437,440;435,437;
EPI_ISL_439799;437,440;435,437;
EPI_ISL_622905;1869,1870;1870,2074;
EPI_ISL_439800;1908,2065;2063,1908;
EPI_ISL_507107;437,440;435,437;
EPI_ISL_439804;1323,1033;1033,1325;
EPI_ISL_622909;436,440;1923,1999;1860,1923;435,436;
EPI_ISL_565896;1585,1605;1569,1585;
EPI_ISL_439810;437,440;435,437;
EPI_ISL_507113;437,440;435,437;
EPI_ISL_439811;437,440;435,437;
EPI_ISL_622914;1600,1606;1604,1600;
EPI_ISL_439812;288,246;246,290;
EPI_ISL_622917;129,11;1869,1870;1870,2074;11,131;
EPI_ISL_439817;288,246;246,290;
EPI_ISL_439818;437,440;435,437;
EPI_ISL_507120;1357,943;943,1359;
EPI_ISL_622919;1869,1870;1870,2074;
EPI_ISL_439819;437,440;435,437;
EPI_ISL_622920;129,11;1869,1870;1870,2074;11,131;
EPI_ISL_622922;1869,1870;1870,2074;
EPI_ISL_507126;437,440;435,437;
EPI_ISL_439825;437,440;435,437;
EPI_ISL_507127;437,440;435,437;
EPI_ISL_622926;129,11;1374,1042;1042,1375;11,131;
EPI_ISL_507129;1150,966;966,1152;
EPI_ISL_507132;437,440;435,437;
EPI_ISL_507134;437,440;435,437;
EPI_ISL_507136;437,440;435,437;
EPI_ISL_439835;1988,1932;1932,1860;
EPI_ISL_622932;129,11;11,131;
EPI_ISL_507137;437,440;435,437;
EPI_ISL_622933;860,697;786,860;785,786;
EPI_ISL_507138;437,440;435,437;
EPI_ISL_507139;437,440;435,437;
EPI_ISL_507141;437,440;435,437;
EPI_ISL_439840;288,246;1908,2065;246,290;2063,1908;
EPI_ISL_622936;1869,1870;1870,2074;
EPI_ISL_439841;1323,1033;1033,1325;
EPI_ISL_622937;129,11;1869,1870;1870,2074;11,131;
EPI_ISL_565922;1988,1848;1848,1860;1624,1628;1622,1624;
EPI_ISL_622938;129,11;1869,1870;1870,2074;11,131;
EPI_ISL_507144;437,440;435,437;
EPI_ISL_622940;129,11;1869,1870;1870,2074;11,131;
EPI_ISL_507146;437,440;435,437;
EPI_ISL_622941;129,11;1869,1870;1870,2074;11,131;
EPI_ISL_507148;437,440;435,437;
EPI_ISL_507149;437,440;435,437;
EPI_ISL_622944;1041,1143;1141,1041;
EPI_ISL_622945;227,306;304,227;
EPI_ISL_507152;437,440;435,437;
EPI_ISL_622946;1869,1870;1870,2074;
EPI_ISL_622947;1869,1870;1870,2074;
EPI_ISL_507154;437,440;435,437;
EPI_ISL_507155;437,440;435,437;
EPI_ISL_622949;1869,1870;1870,2074;
EPI_ISL_622950;1869,1870;1870,2074;
EPI_ISL_507159;437,440;435,437;
EPI_ISL_439859;288,246;246,290;
EPI_ISL_565936;1585,1605;1569,1585;
EPI_ISL_622952;1869,1870;1870,2074;
EPI_ISL_507162;1159,714;714,1161;
EPI_ISL_622954;1869,1870;1870,2074;
EPI_ISL_439863;437,440;435,437;
EPI_ISL_439864;437,440;435,437;
EPI_ISL_507165;437,440;435,437;
EPI_ISL_507167;1490,1503;1927,2031;1501,1490;2088,1927;
EPI_ISL_622959;285,213;1870,2074;1869,1870;213,287;
EPI_ISL_507170;2090,1865;1865,1866;
EPI_ISL_439870;437,440;435,437;
EPI_ISL_439872;437,440;435,437;
EPI_ISL_439873;285,213;213,287;
EPI_ISL_507176;1159,714;714,1161;
EPI_ISL_622964;1869,1870;1870,2074;
EPI_ISL_439877;437,440;435,437;
EPI_ISL_622965;1869,1870;1870,2074;
EPI_ISL_622966;12,132;1869,1870;1870,2074;130,12;
EPI_ISL_439881;437,440;435,437;
EPI_ISL_507182;277,189;189,279;
EPI_ISL_622969;347,363;361,347;
EPI_ISL_507183;277,189;189,279;
EPI_ISL_507184;277,189;189,279;
EPI_ISL_507185;277,189;1146,864;189,279;864,1148;
EPI_ISL_439887;437,440;435,437;
EPI_ISL_507186;1999,2104;
EPI_ISL_622972;165,58;58,167;227,306;304,227;
EPI_ISL_439888;437,440;435,437;
EPI_ISL_622973;1003,1384;1382,1003;227,306;304,227;
EPI_ISL_507189;1999,2104;
EPI_ISL_622975;1869,1870;1870,2074;
EPI_ISL_507190;1999,2104;
EPI_ISL_507191;1999,2104;
EPI_ISL_622977;1877,2062;1343,751;2060,1877;751,845;
EPI_ISL_439895;437,440;435,437;
EPI_ISL_507193;437,440;435,437;
EPI_ISL_507194;1999,2104;
EPI_ISL_507195;1999,2104;
EPI_ISL_565968;1585,1605;1569,1585;
EPI_ISL_507196;317,247;247,319;
EPI_ISL_439899;437,440;435,437;
EPI_ISL_622981;1869,1870;1870,2074;
EPI_ISL_439902;437,440;435,437;
EPI_ISL_622983;142,99;99,144;
EPI_ISL_439903;437,440;435,437;
EPI_ISL_439904;437,440;435,437;
EPI_ISL_565978;1990,2096;2094,1990;
EPI_ISL_622989;1869,1870;1870,2074;
EPI_ISL_439912;437,440;435,437;
EPI_ISL_439913;437,440;435,437;
EPI_ISL_439916;437,440;435,437;
EPI_ISL_622993;1869,1870;1870,2074;
EPI_ISL_622994;1869,1870;1870,2074;
EPI_ISL_439920;437,440;435,437;
EPI_ISL_439921;437,440;435,437;
EPI_ISL_439922;437,440;435,437;
EPI_ISL_439923;2038,1836;1836,2040;
EPI_ISL_439924;437,440;435,437;
EPI_ISL_623001;227,306;304,227;
EPI_ISL_439926;437,440;435,437;
EPI_ISL_439931;437,440;435,437;
EPI_ISL_439932;437,440;435,437;
EPI_ISL_565999;186,316;314,186;
EPI_ISL_439940;437,440;435,437;
EPI_ISL_566006;1924,1860;1988,1924;
EPI_ISL_507239;1814,1815;1815,1818;
EPI_ISL_439942;437,440;435,437;
EPI_ISL_439945;1988,1848;1848,1860;
EPI_ISL_439946;2085,2096;
EPI_ISL_566014;1924,1860;1988,1924;
EPI_ISL_507249;1550,1523;1523,1552;
EPI_ISL_439956;437,440;435,437;
EPI_ISL_623026;679,1300;1298,679;
EPI_ISL_566023;1810,1770;1770,1812;
EPI_ISL_439965;942,1224;1222,942;
EPI_ISL_566027;1924,1860;1988,1924;
EPI_ISL_623032;399,413;411,399;
EPI_ISL_439967;437,440;435,437;
EPI_ISL_507265;160,107;107,162;
EPI_ISL_623034;1869,1870;1870,2074;
EPI_ISL_507267;274,244;244,276;
EPI_ISL_507268;160,107;107,162;
EPI_ISL_623037;1869,1870;1870,2074;
EPI_ISL_439973;437,440;435,437;
EPI_ISL_507270;274,244;244,276;
EPI_ISL_439975;437,440;435,437;
EPI_ISL_623039;631,1365;1363,631;
EPI_ISL_507272;274,244;244,276;
EPI_ISL_566045;1908,2065;2063,1908;
EPI_ISL_623040;274,244;244,276;
EPI_ISL_566046;1548,1515;1515,1550;
EPI_ISL_439977;437,440;435,437;
EPI_ISL_439980;437,440;435,437;
EPI_ISL_439982;437,440;435,437;
EPI_ISL_566053;2090,1865;1865,1866;
EPI_ISL_439987;437,440;435,437;
EPI_ISL_566056;2090,1865;1865,1866;
EPI_ISL_566058;1813,1774;1774,1817;
EPI_ISL_439991;437,440;435,437;
EPI_ISL_623053;1869,1870;1870,2074;
EPI_ISL_439996;437,440;435,437;
EPI_ISL_623055;186,316;314,186;
EPI_ISL_439997;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_623056;860,697;786,860;785,786;
EPI_ISL_623057;1804,1775;1775,1806;
EPI_ISL_440004;437,440;435,437;
EPI_ISL_566072;1833,2091;2031,1833;
EPI_ISL_507417;1902,1841;1841,1982;
EPI_ISL_507418;162,85;85,164;
EPI_ISL_440010;437,440;435,437;
EPI_ISL_566075;1340,804;804,1342;
EPI_ISL_440012;437,440;435,437;
EPI_ISL_507420;970,1179;1177,970;
EPI_ISL_440013;437,440;435,437;
EPI_ISL_623067;165,58;58,167;227,306;304,227;
EPI_ISL_623068;1847,2031;2088,1847;
EPI_ISL_440016;437,440;435,437;
EPI_ISL_507425;1902,1841;1841,1982;
EPI_ISL_440023;437,440;435,437;
EPI_ISL_440024;2038,1836;1836,2040;
EPI_ISL_566085;1917,1866;2090,1917;
EPI_ISL_507432;54,140;110,54;
EPI_ISL_566086;1917,1866;2090,1917;
EPI_ISL_507433;610,1112;1110,610;
EPI_ISL_566087;1917,1866;2090,1917;
EPI_ISL_566088;1917,1866;2090,1917;
EPI_ISL_566089;1917,1866;2090,1917;
EPI_ISL_566090;1917,1866;1927,1938;2088,1927;1938,1917;
EPI_ISL_440030;437,440;435,437;
EPI_ISL_566091;1917,1866;2090,1917;
EPI_ISL_623081;142,99;155,88;88,157;99,144;
EPI_ISL_507438;631,1365;1363,631;
EPI_ISL_566092;1917,1866;2090,1917;
EPI_ISL_623082;1548,1515;1515,1550;
EPI_ISL_440033;2038,1836;1836,2040;
EPI_ISL_566093;1917,1866;2090,1917;
EPI_ISL_566094;1917,1866;2090,1917;
EPI_ISL_440035;437,440;435,437;
EPI_ISL_507441;1979,2084;2083,1979;
EPI_ISL_566095;1917,1866;2090,1917;
EPI_ISL_623085;1847,2031;2088,1847;1712,1741;1739,1712;
EPI_ISL_440037;437,440;435,437;
EPI_ISL_566096;1917,1866;2090,1917;
EPI_ISL_507444;137,56;56,110;
EPI_ISL_566097;1917,1866;2090,1917;
EPI_ISL_507445;162,85;85,164;
EPI_ISL_566098;1917,1866;2090,1917;
EPI_ISL_566099;1917,1866;2090,1917;
EPI_ISL_440041;437,440;435,437;
EPI_ISL_566100;1917,1866;2090,1917;
EPI_ISL_440042;437,440;435,437;
EPI_ISL_566101;1917,1866;2090,1917;
EPI_ISL_566102;1917,1866;2090,1917;
EPI_ISL_440045;437,440;435,437;
EPI_ISL_566103;1917,1866;2090,1917;
EPI_ISL_440046;2038,1836;1836,2040;
EPI_ISL_566104;1917,1866;2090,1917;
EPI_ISL_566105;1917,1866;2090,1917;
EPI_ISL_566106;1917,1866;2090,1917;
EPI_ISL_623095;1566,1569;1565,1566;
EPI_ISL_566107;1917,1866;2090,1917;
EPI_ISL_507456;222,291;289,222;
EPI_ISL_440052;437,440;435,437;
EPI_ISL_566109;1610,1587;1587,1611;
EPI_ISL_440053;437,440;435,437;
EPI_ISL_623097;338,365;363,338;
EPI_ISL_566110;288,246;246,290;
EPI_ISL_566112;288,246;246,290;
EPI_ISL_440056;437,440;435,437;
EPI_ISL_566113;1041,1143;1141,1041;288,246;246,290;
EPI_ISL_566115;285,213;213,287;
EPI_ISL_440060;437,440;435,437;
EPI_ISL_623103;1877,2062;667,668;2060,1877;668,1252;
EPI_ISL_566119;2090,1865;1865,1866;
EPI_ISL_566120;1990,2096;1944,1990;1866,1943;1943,1944;
EPI_ISL_566123;285,213;213,287;
EPI_ISL_440070;437,440;435,437;
EPI_ISL_440071;437,440;435,437;
EPI_ISL_566126;285,213;213,287;
EPI_ISL_623110;1229,795;795,1231;
EPI_ISL_440075;2038,1836;1836,2040;
EPI_ISL_566130;2041,1921;1921,2043;
EPI_ISL_440076;437,440;435,437;
EPI_ISL_623115;285,213;213,287;
EPI_ISL_440081;437,440;435,437;
EPI_ISL_440082;437,440;435,437;
EPI_ISL_440086;437,440;435,437;
EPI_ISL_440089;437,440;435,437;
EPI_ISL_440091;437,440;435,437;
EPI_ISL_440093;437,440;435,437;
EPI_ISL_440094;2057,1915;1915,2059;
EPI_ISL_440097;437,440;435,437;
EPI_ISL_440098;437,440;435,437;
EPI_ISL_440100;437,440;435,437;
EPI_ISL_566150;288,246;246,290;
EPI_ISL_440103;437,440;435,437;
EPI_ISL_566152;288,246;246,290;
EPI_ISL_440105;437,440;435,437;
EPI_ISL_440107;437,440;435,437;
EPI_ISL_566157;2041,1921;1921,2043;
EPI_ISL_623136;437,440;435,437;
EPI_ISL_566158;1159,714;714,1161;
EPI_ISL_623137;437,440;435,437;
EPI_ISL_623138;437,440;435,437;
EPI_ISL_440111;1450,1451;1448,1449;1451,1461;1449,1450;
EPI_ISL_566160;1988,1848;1848,1860;
EPI_ISL_440112;435,437;2077,1973;437,440;1973,2079;
EPI_ISL_623139;437,440;435,437;
EPI_ISL_440115;437,440;435,437;
EPI_ISL_440121;437,440;435,437;
EPI_ISL_440122;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_440123;437,440;435,437;
EPI_ISL_440125;435,437;2034,1978;437,440;1978,2036;
EPI_ISL_566172;295,235;288,246;246,290;235,216;
EPI_ISL_566173;288,246;246,290;
EPI_ISL_440129;1877,2062;2060,1877;
EPI_ISL_566175;1159,714;714,1161;
EPI_ISL_566177;288,246;246,290;
EPI_ISL_440132;437,440;435,437;
EPI_ISL_566178;288,246;246,290;
EPI_ISL_566179;1988,1848;1848,1860;
EPI_ISL_566183;288,246;246,290;
EPI_ISL_440139;437,440;435,437;
EPI_ISL_507535;2043,1850;1850,2045;
EPI_ISL_623160;1609,1581;1581,1595;
EPI_ISL_623161;1609,1581;1581,1595;
EPI_ISL_440143;437,440;435,437;
EPI_ISL_566188;2041,1921;1921,2043;
EPI_ISL_440146;437,440;435,437;
EPI_ISL_440148;437,440;435,437;
EPI_ISL_440149;437,440;435,437;
EPI_ISL_566193;288,246;246,290;
EPI_ISL_440151;437,440;435,437;
EPI_ISL_440152;437,440;435,437;
EPI_ISL_566195;1340,804;804,1342;
EPI_ISL_440155;437,440;435,437;
EPI_ISL_566198;1159,714;714,1161;
EPI_ISL_566201;285,213;213,287;
EPI_ISL_440164;437,440;435,437;
EPI_ISL_440165;437,440;435,437;
EPI_ISL_566208;288,246;246,290;
EPI_ISL_566211;288,246;246,290;
EPI_ISL_440172;437,440;435,437;
EPI_ISL_440173;437,440;435,437;
EPI_ISL_566213;288,246;246,290;
EPI_ISL_440175;437,440;435,437;
EPI_ISL_623183;1789,1814;1812,1789;
EPI_ISL_566215;288,246;246,290;
EPI_ISL_566216;2041,1921;1921,2043;
EPI_ISL_440179;437,440;435,437;
EPI_ISL_566217;1547,1517;1517,1549;
EPI_ISL_440181;437,440;435,437;
EPI_ISL_440185;437,440;435,437;
EPI_ISL_440187;437,440;435,437;
EPI_ISL_440188;2038,1836;1836,2040;
EPI_ISL_440192;437,440;435,437;
EPI_ISL_440196;437,440;435,437;
EPI_ISL_440197;437,440;435,437;
EPI_ISL_623198;1789,1814;1812,1789;
EPI_ISL_440198;437,440;435,437;
EPI_ISL_566233;288,246;246,290;
EPI_ISL_566235;2090,1865;1865,1866;
EPI_ISL_440202;437,440;435,437;
EPI_ISL_623201;1789,1814;1812,1789;
EPI_ISL_566236;285,213;213,287;
EPI_ISL_566239;288,246;246,290;
EPI_ISL_440206;437,440;435,437;
EPI_ISL_566242;288,246;246,290;
EPI_ISL_440211;437,440;435,437;
EPI_ISL_566245;288,246;246,290;
EPI_ISL_566248;667,668;668,1252;
EPI_ISL_440215;437,440;435,437;
EPI_ISL_566249;1221,927;927,1223;
EPI_ISL_440217;437,440;435,437;
EPI_ISL_566250;1114,716;716,1116;
EPI_ISL_623213;2041,1921;1921,2043;
EPI_ISL_566251;285,213;213,287;
EPI_ISL_440219;437,440;435,437;
EPI_ISL_566252;2080,2086;
EPI_ISL_566254;288,246;246,290;
EPI_ISL_623217;1988,1848;1848,1860;
EPI_ISL_440223;437,440;435,437;
EPI_ISL_507612;1481,1497;1480,1481;
EPI_ISL_507613;1324,807;807,1326;
EPI_ISL_440226;2038,1836;1836,2040;
EPI_ISL_507615;777,1261;1259,777;
EPI_ISL_440228;437,440;435,437;
EPI_ISL_566260;300,208;208,302;
EPI_ISL_440230;437,440;435,437;
EPI_ISL_440231;437,440;435,437;
EPI_ISL_440232;437,440;435,437;
EPI_ISL_566263;1988,1932;1932,1860;
EPI_ISL_623224;1450,1451;1448,1449;1451,1461;751,845;1449,1450;1343,751;1427,1438;
EPI_ISL_566264;288,246;246,290;
EPI_ISL_440236;437,440;435,437;
EPI_ISL_440237;437,440;435,437;
EPI_ISL_566266;288,246;246,290;
EPI_ISL_440243;437,440;435,437;
EPI_ISL_566271;288,246;246,290;
EPI_ISL_566272;288,246;246,290;
EPI_ISL_440246;437,440;435,437;
EPI_ISL_566274;288,246;246,290;
EPI_ISL_507634;1762,1763;1763,1767;
EPI_ISL_623235;277,189;1988,1848;189,279;1848,1860;
EPI_ISL_507637;1902,1841;1841,1982;
EPI_ISL_440252;1866,1898;437,440;435,437;
EPI_ISL_440259;437,440;435,437;
EPI_ISL_566284;285,213;213,287;
EPI_ISL_507647;1902,1841;1841,1982;
EPI_ISL_566286;295,235;235,216;
EPI_ISL_440263;2086,1925;1925,2087;
EPI_ISL_566287;288,246;246,290;
EPI_ISL_623244;347,363;361,347;
EPI_ISL_623245;288,246;246,290;
EPI_ISL_566289;288,246;246,290;
EPI_ISL_623246;129,11;1757,1758;1758,1762;11,131;
EPI_ISL_566290;2080,2086;
EPI_ISL_623248;1517,1549;1547,1517;1159,714;714,1161;
EPI_ISL_623249;137,56;56,110;
EPI_ISL_566294;288,246;246,290;
EPI_ISL_623251;1517,1549;1547,1517;1518,1543;1541,1518;
EPI_ISL_566295;288,246;246,290;
EPI_ISL_440272;437,440;435,437;
EPI_ISL_440274;437,440;435,437;
EPI_ISL_623254;1156,889;889,1069;295,235;235,216;
EPI_ISL_440275;437,440;435,437;
EPI_ISL_623255;428,422;857,1254;422,430;1252,857;
EPI_ISL_566299;721,1309;1307,721;870,1133;1131,870;
EPI_ISL_623256;285,213;213,287;
EPI_ISL_440277;437,440;435,437;
EPI_ISL_566300;1159,714;714,1161;
EPI_ISL_566301;1988,1848;1848,1860;
EPI_ISL_566304;285,213;2051,1910;1910,2053;213,287;
EPI_ISL_566305;288,246;246,290;
EPI_ISL_566307;288,246;246,290;
EPI_ISL_623264;1988,1848;1848,1860;
EPI_ISL_507672;1902,1841;1841,1982;
EPI_ISL_623266;2090,2099;
EPI_ISL_566311;288,246;246,290;
EPI_ISL_566312;288,246;246,290;
EPI_ISL_566315;288,246;246,290;
EPI_ISL_566317;288,246;246,290;
