strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/Iceland/283/2020	betacoronavirus	EPI_ISL_417611	?	2020-03-17	Europe	Iceland	Reykjavik		Europe	Iceland	Reykjavik	genome	29836	Human	48	Female	?	B	V	The National University Hospital of Iceland	deCODE genetics	Daniel F Gudbjartsson; Agnar Helgason; Hakon Jonsson; Olafur T Magnusson; Pall Melsted; Gudmundur L Norddahl; Jona Saemundsdottir; Asgeir Sigurdsson; Patrick Sulem; Arna B Agustsdottir; Berglind Eiriksdottir; Run Fridriksdottir; Elisabet E Gardarsdottir; Gudmundur Georgsson; Olafia S Gretarsdottir; Kjartan R Gudmundsson; Thora R Gunnarsdottir; Arnaldur Gylfason; Hilma Holm; Brynjar O Jensson; Aslaug Jonasdottir; Kamilla S Josefsdottir; Thordur Kristjansson; Droplaug N Magnusdottir; Louise le Roux; Gudrun Sigmundsdottir; Gardar Sveinbjornsson; Kristin E Sveinsdottir; Maney Sveinsdottir; Emil A Thorarensen; Bjarni Thorbjornsson; Gisli Masson; Ingileif Jonsdottir; Alma Moller; Thorolfur Gudnason; Karl G Kristinsson; Unnur Thorsteinsdottir; Kari Stefansson	https://www.gisaid.org/	?	?	2020-03-27	?
hCoV-19/Spain/VC-FISABIO-49/2020	betacoronavirus	EPI_ISL_420130	?	2020-03-18	Europe	Spain	Comunitat Valenciana	Valencia	Europe	Spain	Comunitat Valenciana	genome	29782	Human	28	Male	?	B.1	G	Servicio de Microbiologia. Hospital Clinico Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	David Navarro, Loreto Ferrús Abad, Maria Alma Bracho, Griselda De Marco, Beatriz Beamud, Lidia Ruiz Roldan, Marta Pla Diaz, Neris Garcia-Gonzalez, Inma Galán Vendrell, Paula Ruiz-Hueso, Mariana Reyes-Prieto, Vicente Soriano Chirona, Sandra Carbo, Ivan Ansari, Llúcia Martínez-Priego, Giuseppe D'Auria, Fernando Gonzalez-Candelas	https://www.gisaid.org/	?	?	2020-04-05	?
hCoV-19/England/SHEF-C093E/2020	betacoronavirus	EPI_ISL_420154	?	2020-03-30	Europe	United Kingdom	England	South Yorkshire	Europe	United Kingdom	England	genome	29782	Human	62	Female	?	B.1.1.1	GR	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Rachel Tucker, Paul Parsons, Luke Green, Danielle Groves, Alex Keeley, Dave Partridge, Matthew Wyles, Benjamin Lindsey, Mehmet Yavuz, Mohammad Raza, Cariad Evans	https://www.gisaid.org/	?	?	2020-04-06	?
hCoV-19/USA/GA-CDC-03066838-001/2020	betacoronavirus	EPI_ISL_420786	?	2020-03-03	North America	USA	Georgia		North America	USA	Georgia	genome	29882	Human	46	Female	?	A	S	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong	https://www.gisaid.org/	?	?	2020-04-06	?
hCoV-19/USA/GA-CDC-03066152-001/2020	betacoronavirus	EPI_ISL_420788	?	2020-03-04	North America	USA	Georgia		North America	USA	Georgia	genome	29882	Human	unknown	Female	?	A	S	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong	https://www.gisaid.org/	?	?	2020-04-06	?
hCoV-19/SouthKorea/un-CDC-03066201-001/2020	betacoronavirus	EPI_ISL_420800	?	2020-02-29	Asia	South Korea			Asia	South Korea		genome	29882	Human	24	Female	?	B.41	V	Brian D. Allgood Army Community Hospital	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong	https://www.gisaid.org/	?	?	2020-04-06	?
hCoV-19/SouthKorea/un-CDC-03066200-001/2020	betacoronavirus	EPI_ISL_420801	?	2020-02-29	Asia	South Korea			Asia	South Korea		genome	29882	Human	1	Female	?	B.41	V	Brian D. Allgood Army Community Hospital	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong	https://www.gisaid.org/	?	?	2020-04-06	?
hCoV-19/Brazil/SP-10/2020	betacoronavirus	EPI_ISL_416032	?	2020-03-04	South America	Brazil	Distrito Federal	Brasilia	South America	Brazil	Distrito Federal	genome	29867	Human	52	Female	?	B	O	National Influenza Center - Instituto Adolfo Lutz	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi, Claudia Regina Gonçalves, Carlos Henrique Camargo, Fabiana Cristina Pereira dos Santos, Daniela Bernardes Borges da Silva, Simone Guadagnucci Morillo, Adriano Abbud, Adriana Bugno, Maria do Carmo Sampaio Tavares Timenetsky, Terezinha Maria de Paiva	https://www.gisaid.org/	?	?	2020-03-20	?
hCoV-19/England/SHEF-C0549/2020	betacoronavirus	EPI_ISL_420249	?	2020-03-26	Europe	United Kingdom	England	South Yorkshire	Europe	United Kingdom	England	genome	29782	Human	67	Male	?	B.40	V	Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust	Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield	Thushan de Silva, Matthew Parker, Adri Angyal, Rebecca Brown, Rachel Tucker, Paul Parsons, Luke Green, Danielle Groves, Alex Keeley, Dave Partridge, Matthew Wyles, Benjamin Lindsey, Mehmet Yavuz, Mohammad Raza, Cariad Evans	https://www.gisaid.org/	?	?	2020-04-06	?
hCoV-19/Australia/VIC28/2020	betacoronavirus	EPI_ISL_419747	?	2020-03-10	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29891	Human	63	Male	?	A	S	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC112/2020	betacoronavirus	EPI_ISL_419821	?	2020-03-18	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29893	Human	57	Female	?	A	S	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC172/2020	betacoronavirus	EPI_ISL_419869	?	2020-03-18	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29891	Human	49	Female	?	B.40	V	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC244/2020	betacoronavirus	EPI_ISL_419939	?	2020-03-21	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29900	Human	59	Male	?	A.2.2	S	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC127/2020	betacoronavirus	EPI_ISL_419729	?	2020-03-20	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29894	Human	48	Female	?	B.40	V	Microbiological Diagnostic Unit Public Health Laboratory	Microbiological Diagnostic Unit Public Health Laboratory	Seemann T., Schultz M., Sait, M., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC117/2020	betacoronavirus	EPI_ISL_419727	?	2020-03-19	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29865	Human	64	Female	?	A	S	Microbiological Diagnostic Unit Public Health Laboratory	Microbiological Diagnostic Unit Public Health Laboratory	Seemann T., Schultz M., Sait, M., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC17/2020	betacoronavirus	EPI_ISL_419736	?	2020-03-07	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29865	Human	unknown	unknown	?	A	S	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC42/2020	betacoronavirus	EPI_ISL_419761	?	2020-03-11	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29878	Human	68	Female	?	B.6	O	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC58/2020	betacoronavirus	EPI_ISL_419784	?	2020-03-12	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29873	Human	46	Female	?	B.4.5	O	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC61/2020	betacoronavirus	EPI_ISL_419773	?	2020-03-13	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29865	Human	45	Male	?	B	V	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC79/2020	betacoronavirus	EPI_ISL_419791	?	2020-03-14	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29886	Human	37	Male	?	B.61	V	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC78/2020	betacoronavirus	EPI_ISL_419790	?	2020-03-14	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29890	Human	33	Female	?	B	L	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC56/2020	betacoronavirus	EPI_ISL_419777	?	2020-03-12	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29865	Human	63	Male	?	A	S	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC82/2020	betacoronavirus	EPI_ISL_419794	?	2020-03-14	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29887	Human	43	Male	?	B.61	V	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC181/2020	betacoronavirus	EPI_ISL_419878	?	2020-03-19	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29903	Human	29	Male	?	B.6	O	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC208/2020	betacoronavirus	EPI_ISL_419903	?	2020-03-20	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29899	Human	56	Female	?	B.35	V	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
hCoV-19/Australia/VIC169/2020	betacoronavirus	EPI_ISL_419866	?	2020-03-18	Oceania	Australia	Victoria		Oceania	Australia	Victoria	genome	29867	Human	65	Male	?	B.28	V	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.	https://www.gisaid.org/	?	?	2020-04-03	?
